+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  1 |       NEW |     READY |
|                 0 |  2 |       NEW |     READY |
|                 0 |  1 |     READY |   RUNNING |
|                20 |  3 |       NEW |     READY |
|                80 |  1 |   RUNNING |   WAITING |
|                81 |  2 |     READY |   RUNNING |
|               120 |  1 |   WAITING |     READY |
|               182 |  2 |   RUNNING |     READY |
|               182 |  3 |     READY |   RUNNING |
|               282 |  3 |   RUNNING |   WAITING |
|               283 |  1 |     READY |   RUNNING |
|               332 |  3 |   WAITING |     READY |
|               363 |  1 |   RUNNING |   WAITING |
|               364 |  2 |     READY |   RUNNING |
|               383 |  2 |   RUNNING |   WAITING |
|               384 |  3 |     READY |   RUNNING |
|               403 |  1 |   WAITING |     READY |
|               413 |  2 |   WAITING |     READY |
|               484 |  3 |   RUNNING |   WAITING |
|               485 |  1 |     READY |   RUNNING |
|               534 |  3 |   WAITING |     READY |
|               565 |  1 |   RUNNING |   WAITING |
|               566 |  2 |     READY |   RUNNING |
|               605 |  1 |   WAITING |     READY |
|               626 |  2 |   RUNNING |TERMINATED |
|               626 |  3 |     READY |   RUNNING |
|               726 |  3 |   RUNNING |TERMINATED |
|               726 |  1 |     READY |   RUNNING |
|               736 |  1 |   RUNNING |TERMINATED |
+------------------------------------------------+
